gene_id	gene_name	min_normalised_prop_obs	chr	depleted_region_start	depleted_region_end	region_length
ENSG00000202538	RNU4-2	-0.5	chr12	120291818	120291857	40
ENSG00000276027	RNU12	-0.425925925925926	chr22	42615244	42615281	38
ENSG00000200156	RNU5B-1	-0.407407407407407	chr15	65304700	65304733	34
ENSG00000200795	RNU4-1	-0.37037037037037	chr12	120293155	120293191	37
ENSG00000238923	RNU7-1	-0.240740740740741	chr12	6943816	6943841	26
ENSG00000207507	RNU6-9	-0.240740740740741	chr19	893502	893527	26
ENSG00000207389	RNU1-4	-0.240740740740741	chr1	16740516	16740534	19
ENSG00000283293	RN7SK	-0.203703703703704	chr6	52995645	52995662	18
ENSG00000283293	RN7SK	-0.240740740740741	chr6	52995877	52995896	20
ENSG00000199568	RNU5A-1	-0.222222222222222	chr15	65296080	65296100	21
ENSG00000207357	RNU6-2	-0.222222222222222	chr19	1021544	1021564	21
ENSG00000274978	RNU11	-0.222222222222222	chr1	28648600	28648617	18
ENSG00000207005	RNU1-2	-0.203703703703704	chr1	16895980	16895997	18
ENSG00000264229	RNU4ATAC	-0.203703703703704	chr2	121530990	121531007	18
