chr	intergenic_region_start	intergenic_region_end	rand_seq_start	rand_seq_end
chr12	48133	56766	50737	50878
chr12	738286	742578	740800	740941
chr12	1514424	1517722	1516261	1516402
chr12	1542192	1555992	1548699	1548840
chr12	1542192	1555992	1555428	1555569
chr12	1604842	1607055	1605216	1605357
chr12	1670380	1681069	1680660	1680801
chr12	2707950	2732057	2714872	2715013
chr12	2707950	2732057	2715931	2716072
chr12	3050676	3061245	3054406	3054547
chr12	3603973	3605327	3604504	3604645
chr12	3603973	3605327	3605035	3605176
chr12	3968643	4001908	3969999	3970140
chr12	3968643	4001908	3994392	3994533
chr12	4036658	4087372	4049744	4049885
chr12	4129955	4163026	4130810	4130951
chr12	4129955	4163026	4135692	4135833
chr12	4129955	4163026	4139842	4139983
chr12	4213966	4238766	4226144	4226285
chr12	4213966	4238766	4226505	4226646
chr12	4389712	4424141	4402145	4402286
chr12	4389712	4424141	4405069	4405210
chr12	4455815	4477734	4469938	4470079
chr12	4455815	4477734	4477478	4477619
chr12	4782726	4799333	4784501	4784642
chr12	4782726	4799333	4789608	4789749
chr12	4861112	4899904	4872131	4872272
chr12	4861112	4899904	4890172	4890313
chr12	4928256	4997878	4936210	4936351
chr12	4928256	4997878	4969652	4969793
chr12	4928256	4997878	4984206	4984347
chr12	5056788	5111949	5057645	5057786
chr12	5056788	5111949	5058087	5058228
chr12	5536731	5552654	5537496	5537637
chr12	5536731	5552654	5541395	5541536
chr12	5536731	5552654	5542344	5542485
chr12	5536731	5552654	5547044	5547185
chr12	5536731	5552654	5551314	5551455
chr12	6134670	6139751	6135397	6135538
chr12	6134670	6139751	6137319	6137460
chr12	6420040	6428474	6425986	6426127
chr12	7250988	7294071	7267276	7267417
chr12	7454153	7460810	7459239	7459380
chr12	7454153	7460810	7460511	7460652
chr12	7577579	7594253	7592664	7592805
chr12	7617621	7639399	7622801	7622942
chr12	7617621	7639399	7625753	7625894
chr12	7617621	7639399	7628206	7628347
chr12	7617621	7639399	7629089	7629230
chr12	7977021	7984769	7978203	7978344
chr12	8400752	8404778	8404347	8404488
chr12	8577936	8587508	8578951	8579092
chr12	8577936	8587508	8582427	8582568
chr12	8577936	8587508	8582842	8582983
chr12	8577936	8587508	8585638	8585779
chr12	8577936	8587508	8586012	8586153
chr12	8622859	8624336	8624094	8624235
chr12	8897459	8904508	8897721	8897862
chr12	8897459	8904508	8898155	8898296
chr12	8897459	8904508	8899813	8899954
