chr	start	end	gene_id	gene_name	biotype	meanCPM
chr1	11908152	11908271	ENSG00000199347	RNU5E-1	snRNA	20.9635
chr1	148038753	148038916	ENSG00000206585	RNVU1-7	snRNA	6904.12
chr1	16895980	16896143	ENSG00000207005	RNU1-2	snRNA	24.6108
chr1	143729407	143729570	ENSG00000206737	RNVU1-18	snRNA	18.685
chr1	28648600	28648733	ENSG00000274978	RNU11	snRNA	61.6356
chr1	16514122	16514285	ENSG00000206652	RNU1-1	snRNA	54007.8
chr1	16666785	16666948	ENSG00000207513	RNU1-3	snRNA	3045.61
chr1	16740516	16740679	ENSG00000207389	RNU1-4	snRNA	343.921
chr1	144412576	144412740	ENSG00000207205	RNVU1-15	snRNA	6.41258
chr1	144560666	144560829	ENSG00000277918	RNVU1-28	snRNA	475.089
chr1	145281116	145281279	ENSG00000207501	RNVU1-14	snRNA	8.14893
chr1	148362370	148362533	ENSG00000207340	RNVU1-1	snRNA	6.24947
chr1	146376807	146376970	ENSG00000273768	RNVU1-29	snRNA	7.81928
chr2	121530881	121531007	ENSG00000264229	RNU4ATAC	snRNA	5.4315
chr6	52995621	52995948	ENSG00000283293	RN7SK	snRNA	90170.3
chr9	134164439	134164564	ENSG00000221676	RNU6ATAC	snRNA	32.8306
chr12	111564821	111564883	ENSG00000272215	U7	snRNA	6.95675
chr12	6943816	6943878	ENSG00000238923	RNU7-1	snRNA	7.45
chr12	120291763	120291903	ENSG00000202538	RNU4-2	snRNA	3574.85
chr12	120293097	120293237	ENSG00000200795	RNU4-1	snRNA	629.12
chr14	32203163	32203269	ENSG00000202337	RNU6-8	snRNA	5.05701
chr15	65304677	65304792	ENSG00000200156	RNU5B-1	snRNA	173.097
chr15	67839939	67840045	ENSG00000206625	RNU6-1	snRNA	30.3481
chr15	65296051	65296166	ENSG00000199568	RNU5A-1	snRNA	89.2853
chr15	90076424	90076486	ENSG00000276376	U7	snRNA	21.9536
chr19	1021522	1021628	ENSG00000207357	RNU6-2	snRNA	78.4042
chr19	893484	893590	ENSG00000207507	RNU6-9	snRNA	29.6871
chr22	42615244	42615393	ENSG00000276027	RNU12	snRNA	103.745
